Term,Department,Course,Workload,Rating,Enrollment,Recommendation,Elective,Concentration,Secondary/Citation,Core/GENED,EXPOS,Language,Pre-med
Spring 2019,African & African Amer Studies,AFRAMER 10: Introduction to African American Studies,3.5,4.5,179,4.6,57,16,18,31,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 100Y: Introduction to Black Poetry,2.6,4.2,49,4.5,69,23,9,9,0,0,3
Spring 2019,African & African Amer Studies,"AFRAMER 119X: Chocolate, Culture, and the Politics of Food",2.9,4.5,102,4.7,75,5,6,14,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 123Z: American Democracy,3.6,4.4,49,4.4,86,8,8,3,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 125X: Urban Inequality after Civil Rights,5.2,4.5,40,4.7,76,42,12,0,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 130X: Richard Wright: Literature, Philosophy, and Politics",7.2,4.4,23,4.4,74,21,16,16,0,0,5
Spring 2019,African & African Amer Studies,AFRAMER 131Y: 19th century Black Women Slave Narratives and the 21st century #MeToo Movement:,3.5,4.9,20,4.9,94,24,24,0,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 142: Hiphop and Don't Stop. I Am Hiphop: Build, Respect, Represent",3.3,4.0,11,4.2,90,0,10,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 187X: The Creole Spirits,13.4,4.7,7,4.5,50,17,33,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 192Y: The Paradox of the Garden: Good and Evil in Paradise,4.2,4.5,13,4.4,88,12,12,0,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 197X: Intersectional and International Social Movements, 1920-2020",4.3,2.7,6,3.3,67,0,0,33,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 197Y: The African Diaspora: Time, Space, and Belonging",5.0,4.8,8,4.8,60,0,40,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 199X/HIST 1937: Social Revolutions in Latin America,7.2,4.8,19,4.9,55,36,9,18,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 199Y: Martin Luther King, Jr. and the Question of Conscientious Citizenship",4.2,4.7,40,4.7,63,23,23,13,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 209B: Africa Rising? New African Economies/Cultures and Their Global Implications,2.8,4.5,8,4.4,62,12,38,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 212: Entrepreneurship in Africa,4.6,4.4,13,4.6,82,0,18,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 218: Topics in African American History,10.8,4.7,13,4.4,14,71,14,0,0,0,0
Spring 2019,African & African Amer Studies,AFRAMER 306: Theory and Race in the Americas,12.0,3.5,7,4.0,0,10,0,0,0,0,0
Spring 2019,African & African Amer Studies,"AFRAMER 97: Sophomore Tutorial: Concepts, Themes and Theories in African American Studies",4.2,2.0,7,2.2,0,10,0,0,0,0,0
Spring 2019,African & African Amer Studies,AFRIKAAN AB: Elementary Afrikaans,2.9,4.9,22,4.9,33,0,11,6,0,61,0
Spring 2019,African & African Amer Studies,AFRIKAAN BB: Intermediate Afrikaans,2.9,5.0,12,5.0,30,10,40,0,0,30,0
Spring 2019,African & African Amer Studies,AMHARIC AB: Elementary Amharic,2.6,5.0,7,4.8,50,0,17,0,0,33,0
Spring 2019,African & African Amer Studies,IGBO AB: Elementary Igbo,2.8,4.0,9,4.2,25,0,50,0,0,25,0
Spring 2019,African & African Amer Studies,IGBO BB: Intermediate Igbo,3.8,4.4,9,4.6,60,0,40,0,0,0,0
Spring 2019,African & African Amer Studies,JAMAICAN AB: Elementary Jamaican Patois,1.5,4.9,18,4.9,27,0,27,18,0,36,0
Spring 2019,African & African Amer Studies,JAMAICAN BB: Intermediate Jamaican Patois,2.0,5.0,6,4.8,25,0,25,25,0,25,0
Spring 2019,African & African Amer Studies,SWAHILI 101BR: Reading in Swahili II,4.1,5.0,11,5.0,22,11,0,56,0,11,0
Spring 2019,African & African Amer Studies,SWAHILI AB: Elementary Swahili,3.7,4.1,11,4.3,45,18,18,0,0,45,0
Spring 2019,African & African Amer Studies,TWI 101BR: Reading in Twi II,5.0,5.0,2,5.0,50,0,50,0,0,0,0
Spring 2019,African & African Amer Studies,TWI AB: Elementary Twi,2.0,4.6,6,5.0,40,0,20,0,0,40,0
Spring 2019,African & African Amer Studies,TWI BB: Intermediate Twi,2.0,4.7,4,4.7,33,0,33,0,0,67,0
Spring 2019,African & African Amer Studies,WSTAFRCN AB: Elementary West African Pidgin,2.6,4.0,29,4.1,17,4,12,0,0,67,0
Spring 2019,African & African Amer Studies,YORUBA BB: Intermediate Yoruba,4.0,2.5,5,2.5,0,0,50,0,0,50,0
Spring 2019,African & African Amer Studies,ZULU AA: Elementary Zulu,4.5,5.0,6,4.7,10,0,0,0,0,33,0
Spring 2019,African & African Amer Studies,ZULU AB: Elementary Zulu,2.6,4.8,35,4.8,9,0,3,16,0,72,0
Spring 2019,African & African Amer Studies,ZULU BB: Intermediate Zuu,2.5,5.0,6,5.0,10,0,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1059: Deep History,3.5,4.7,17,4.6,67,44,22,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1131: Archaeology of Harvard Yard II: Laboratory Methods and Analysis,2.9,4.9,17,4.8,79,21,29,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1145: The Green Planet: Plants that changed human history,2.8,4.8,9,4.3,83,17,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1150: Ancient Landscapes,4.0,4.0,4,4.0,10,10,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1168: Maya Glyphs,3.8,4.5,10,4.2,71,14,29,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1182: People of the Sun: The Archaeology of Ancient Mexico,3.3,5.0,6,4.8,80,0,40,0,0,0,0
Spring 2019,Anthropology,"ANTHRO 1216: Makings of Crisis: The Anthropology of Disaster, Past and Present",3.2,4.5,7,4.5,0,0,60,20,0,0,0
Spring 2019,Anthropology,ANTHRO 1401: Human Migration & US-Mexico Borderlands: Moral Dilemmas & Sacred Bundles in Comparative Perspective,4.2,4.3,13,4.3,50,60,10,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1600: Anthropological Investigations: Ways of Thinking and Being in the World,7.0,5.0,3,,10,0,0,0,0,0,0
Spring 2019,Anthropology,"ANTHRO 1634: Indigeneity, Rights, and the Politics of Identity",3.0,4.5,3,4.5,10,0,0,0,0,0,0
Spring 2019,Anthropology,"ANTHRO 1686: The Anthropology of Energy: Power, Politics and Pollution",4.5,4.7,6,4.5,33,17,50,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1795: Language and Politics,4.8,4.0,15,3.9,50,21,21,50,0,0,0
Spring 2019,Anthropology,ANTHRO 1861: Anthropology and the Colonial Present,5.1,4.3,9,4.6,71,29,14,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1895: The Social and the Digital: Introduction to Internet Cultures,1.7,4.4,11,4.6,57,29,29,0,0,0,0
Spring 2019,Anthropology,ANTHRO 1900: Counseling as Colonization? Native American Encounters with the Clinical Psy-ences,5.5,4.7,10,4.8,78,33,11,0,0,0,0
Spring 2019,Anthropology,"ANTHRO 1976: Schools in Culture, Culture in Schools",6.1,5.0,10,5.0,50,20,60,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2100: Archaeological Site Formation Processes,5.0,4.8,7,4.8,75,50,50,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2245: The Archaeology of Technology,10.0,4.5,6,4.0,10,10,0,0,0,0,0
Spring 2019,Anthropology,"ANTHRO 2316: Religious Narratives: Shamans, Empires, Borderlands",5.0,4.0,3,4.0,10,0,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2631: Theories and Discourses of Religion,None,None,4,4.0,None,None,None,None,None,None,None
Spring 2019,Anthropology,ANTHRO 2650B: History and Theory of Social Anthropology: Proseminar,12.2,5.0,10,4.9,0,57,43,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2682: Anthropology of Urbanism: Japan in Comparative Perspective,7.5,4.3,3,4.5,10,33,0,0,0,0,0
Spring 2019,Anthropology,"ANTHRO 2695: Design Anthropology: Objects, Landscapes, Cities",5.8,4.0,7,4.2,10,20,0,0,0,0,0
Spring 2019,Anthropology,"ANTHRO 2710: Event, Time, Memory",12.7,5.0,8,5.0,10,0,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2725: History and Anthropology: Seminar,7.6,4.5,21,4.4,44,38,19,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2738: Remaking Life and Death,6.0,4.5,2,4.5,10,0,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2796: Medical Anthropology: Advanced Topics,7.5,4.6,30,4.5,88,25,4,0,0,0,0
Spring 2019,Anthropology,ANTHRO 2981: Takes on Whiteness,7.8,5.0,11,5.0,67,50,17,0,0,0,0
Spring 2019,Anthropology,ANTHRO 3628: Anthropological Research Methods,4.0,3.2,12,3.0,0,10,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 97X: Sophomore Tutorial in Archaeology,5.8,3.5,7,3.3,0,10,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 97Z: Sophomore Tutorial in Social Anthropology,6.3,4.0,13,3.5,0,10,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 98B: Junior Tutorial for Thesis Writers in Anthropology,5.0,4.8,15,5.0,9,91,0,0,0,0,0
Spring 2019,Anthropology,ANTHRO 99B: Thesis Tutorial in Anthropology - Senior Year,15.0,4.4,6,4.6,0,10,0,0,0,0,0
Spring 2019,Applied Computation,APCOMP 209B: Data Science 2: Advanced Topics in Data Science,13.1,4.1,44,4.1,22,67,6,0,0,0,0
Spring 2019,Applied Computation,APCOMP 221: Critical Thinking in Data Science,5.3,3.7,67,3.6,34,66,0,0,0,0,0
Spring 2019,Applied Computation,APPHY 275/APCOMP 275: Computational Design of Materials,8.0,4.5,18,4.5,64,21,14,0,0,0,0
Spring 2019,Applied Computation,APCOMP 290R: Extreme Computing: Project-based High Performance Distributed and Parallel Systems,7.0,4.5,6,4.0,83,17,17,0,0,0,0
Spring 2019,Applied Computation,APCOMP 297R: Computational Science and Engineering Capstone Project,10.7,4.6,16,4.4,31,77,0,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 107: Graph Theory and Combinatorics,6.4,3.8,13,3.6,0,10,0,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 108: Nonlinear Dynamical Systems,8.2,4.0,42,3.9,6,91,3,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 115/ENG-SCI 115: Mathematical Modeling,5.8,4.0,48,3.9,19,81,5,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 120: Applied Linear Algebra and Big Data,8.6,4.0,118,3.8,30,76,7,1,0,0,0
Spring 2019,Applied Mathematics,APMTH 202: Physical Mathematics II,13.6,3.6,9,3.5,0,71,14,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 203: Introduction to Disordered Systems and Stochastic Processes,11.9,4.0,22,3.7,78,28,0,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 216: Inverse Problems in Science and Engineering,8.7,3.8,30,3.6,52,43,0,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 217: Patterns,5.0,4.5,5,4.5,50,0,0,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 21B: Mathematical Methods in the Sciences,7.7,4.2,77,4.4,11,92,5,2,0,0,3
Spring 2019,Applied Mathematics,APMTH 221: Advanced Optimization,10.5,4.1,41,4.0,63,37,3,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 225: Advanced Scientific Computing: Numerical Methods for Partial Differential Equations,14.3,5.0,11,4.8,56,22,0,0,0,0,0
Spring 2019,Applied Mathematics,APMTH 22A: Solving and Optimizing,7.1,3.5,18,3.8,7,10,0,7,0,0,0
Spring 2019,Applied Mathematics,ENG-SCI 201/APMTH 231: Decision Theory,8.5,3.8,69,3.8,69,35,2,0,0,2,0
Spring 2019,Applied Mathematics,APMTH 50: Introduction to Applied Mathematics,6.8,3.5,29,3.4,20,92,0,0,0,0,0
Spring 2019,Applied Physics,APPHY 216: Quantum and Classical Electromagnetic Interaction with Matter,6.8,4.3,21,4.1,7,93,0,0,0,0,0
Spring 2019,Applied Physics,"APPHY 218: Electrical, Optical, and Magnetic Properties of Materials",9.0,4.2,5,4.2,60,60,0,0,0,0,0
Spring 2019,Applied Physics,APPHY 275/APCOMP 275: Computational Design of Materials,8.0,4.5,18,4.5,64,21,14,0,0,0,0
Spring 2019,Applied Physics,APPHY 291: Electron Microscopy Laboratory,4.0,4.3,11,4.3,67,50,0,0,0,0,0
Spring 2019,Applied Physics,APPHY 292: Kinetics of Condensed Phase Processes,11.5,4.4,9,4.6,50,62,0,0,0,0,0
Spring 2019,Applied Physics,PHYSICS 295B/APPHY 295B: Quantum Theory of Solids,21.0,4.3,20,4.1,80,27,0,0,0,0,0
Spring 2019,Applied Physics,APPHY 296: Mesoscale and Low Dimensional Devices,7.6,4.6,15,4.4,79,29,0,0,0,0,0
Spring 2019,Applied Physics,"APPHY 50B: Physics as a Foundation for Science and Engineering, Part II",4.6,3.7,74,4.1,4,60,2,6,0,0,53
Spring 2019,Astronomy,ASTRON 100: Methods of Observational Astronomy,6.2,2.8,12,2.9,30,40,60,0,0,0,0
Spring 2019,Astronomy,ASTRON 16: Stellar and Planetary Astronomy,4.5,4.0,17,4.1,47,67,13,13,0,0,0
Spring 2019,Astronomy,ASTRON 191: Astrophysics Laboratory,10.4,4.4,7,3.8,40,10,0,0,0,0,0
Spring 2019,Astronomy,ASTRON 201: Astrophysical Fluids & Plasmas,7.6,4.4,14,4.2,36,73,0,0,0,0,0
Spring 2019,Astronomy,ASTRON 203: Interstellar Medium and Star Formation,4.4,4.2,9,4.2,40,80,0,0,0,0,0
Spring 2019,Astronomy,ASTRON 209: Exoplanet Systems,14.5,4.7,8,4.5,17,10,0,0,0,0,0
Spring 2019,Astronomy,ASTRON 301: Recorded time for Teaching Fellows,10.0,5.0,11,5.0,33,0,0,0,0,0,0
Spring 2019,Astronomy,ASTRON 302: The Science of Teaching Science,4.0,5.0,5,5.0,10,20,0,0,0,0,0
Spring 2019,Astronomy,ASTRON 305: Topics in Origins of Life Research,1.0,5.0,5,5.0,10,0,10,0,0,0,0
Spring 2019,Astronomy,ASTRON 91R: Supervised Reading and Research,20.0,2.0,1,3.0,0,10,0,0,0,0,0
Spring 2019,Astronomy,ASTRON 99B: Senior Thesis in Astrophysics,20.0,5.0,4,5.0,10,10,0,0,0,0,0
Spring 2019,Bio Sciences in Public Health,BPH 222: The Biological Basis of Human Nutrition,1.5,4.2,7,4.4,20,80,0,0,0,0,0
Spring 2019,Bio Sciences in Public Health,BPH 301QC: Molecular Basis for Nutritional & Metabolic Diseases,4.2,4.3,7,4.1,43,71,0,0,0,0,0
Spring 2019,Bio Sciences in Public Health,BPH 306QC: Tuberculosis,2.0,4.5,5,4.0,40,60,0,0,0,0,0
Spring 2019,Biomedical Engineering,BE 125: Tissue Engineering,7.3,4.2,8,4.4,25,10,0,0,0,0,0
Spring 2019,Biomedical Engineering,BE 128: Introduction to Biomedical Imaging and Systems,4.5,4.2,19,4.2,73,82,0,0,0,0,0
Spring 2019,Biomedical Engineering,BE 129: Introduction to Bioelectronics,5.0,4.2,8,4.8,10,10,0,0,0,0,0
Spring 2019,Biomedical Engineering,BE 191: Introduction to Biomaterials,7.1,3.4,21,3.4,6,88,0,0,0,0,0
Spring 2019,Biophysics,BIOPHYS 204: Structural Biology From Molecules to Cells,5.0,4.3,7,4.0,10,33,0,0,0,0,0
Spring 2019,Biophysics,BIOPHYS 205: Computational and Functional Genomics,4.8,4.0,14,3.9,29,71,0,0,0,0,0
Spring 2019,Biophysics,BIOPHYS 242R: Special Topics in Biophysics,4.1,3.1,18,3.3,27,73,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 231: Statistical Inference I,16.7,4.3,14,4.3,8,83,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 234: Introduction to Data Structures and Algorithms,9.4,2.2,13,2.0,0,91,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 238: Principles and Advanced Topics in Clinical Trials,5.0,3.2,6,3.3,50,50,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 241: Statistical Inference II,9.0,3.9,15,4.0,60,60,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 244: Analysis of Failure Time Data,1.8,3.9,9,4.1,75,25,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 245: Analysis of Multivariate and Longitudinal Data,6.1,4.8,14,4.5,45,73,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 281: Genomic Data Manipulation,5.7,2.0,9,1.9,0,10,0,0,0,0,0
Spring 2019,Biostatistics,BIOSTAT 282: Introduction to Computational Biology and Bioinformatics,13.3,4.0,8,4.4,57,43,0,0,0,0,0
Spring 2019,Celtic Languages & Literatures,CELTIC 105: The Folklore of Gaelic Ireland,3.9,3.9,14,4.3,73,18,9,0,0,0,0
Spring 2019,Celtic Languages & Literatures,CELTIC 194: The World of the Celtic Bard,2.2,5.0,7,4.8,10,0,0,0,0,0,0
Spring 2019,Celtic Languages & Literatures,IRISH 133R: Intermediate Modern Irish,4.2,4.8,4,5.0,10,0,0,0,0,0,0
Spring 2019,Celtic Languages & Literatures,IRISH 204R: Readings in Early Irish Poetry,6.0,5.0,3,5.0,0,10,0,0,0,0,0
Spring 2019,Celtic Languages & Literatures,IRISH 210: Readings in Modern Irish,6.0,3.0,2,3.0,10,0,0,0,0,0,0
Spring 2019,Celtic Languages & Literatures,"SCTGALIC 168: Advanced Scottish Gaelic, 2nd Semester",4.0,5.0,2,5.0,10,0,10,0,0,0,0
Spring 2019,Celtic Languages & Literatures,WELSH 129R: Intermediate Modern Welsh,4.0,5.0,3,5.0,10,0,10,0,0,0,0
Spring 2019,Celtic Languages & Literatures,WELSH 225B: Medieval Welsh Poetry,6.5,4.7,6,5.0,50,0,0,0,0,50,0
Spring 2019,Chemical & Physical Biology,CPB 91: Research for Credit in Chemical and Physical Biology,18.9,4.8,10,4.6,44,78,0,0,0,0,0
Spring 2019,Chemical & Physical Biology,CPB 99B: Laboratory Research for Honors Thesis,20.6,4.7,7,4.5,0,83,0,0,0,0,0
Spring 2019,Chemical Biology,CHEMBIO 2200: Introduction to Chemical Biology,4.0,4.2,11,4.0,0,80,0,0,0,0,0
Spring 2019,Chemistry & Chemical Biology,CHEM 100R: Experimental Chemistry and Chemical Biology,6.0,4.0,5,3.8,20,80,20,0,0,0,0
Spring 2019,Chemistry & Chemical Biology,CHEM 135: Experimental Synthetic Chemistry,4.0,5.0,3,5.0,33,10,0,0,0,0,0
Spring 2019,Chemistry & Chemical Biology,CHEM 154: Advanced Inorganic Chemistry,7.1,4.5,16,4.3,47,67,0,0,0,0,7
Spring 2019,Chemistry & Chemical Biology,CHEM 161: Statistical Thermodynamics,8.5,3.5,17,3.4,0,10,0,0,0,0,0
Spring 2019,Chemistry & Chemical Biology,CHEM 165: Experimental Physical Chemistry,7.0,4.0,3,4.3,0,67,0,33,0,0,33
Spring 2019,Chemistry & Chemical Biology,CHEM 171: Biological Synthesis,5.6,4.4,28,4.3,68,63,5,0,0,0,5
Spring 2019,Chemistry & Chemical Biology,CHEM 20: Organic Chemistry,9.4,4.8,52,4.6,14,84,11,7,0,0,32
Spring 2019,Chemistry & Chemical Biology,CHEM 255: Practical Crystallography in Chemistry and Materials Science,4.2,3.0,13,3.0,50,58,0,0,0,0,0
Spring 2019,Chemistry & Chemical Biology,CHEM 267: Surface and Interfacial Phenomena,6.1,4.2,10,4.2,89,22,0,0,0,0,0
Spring 2019,Chemistry & Chemical Biology,CHEM 27: Organic Chemistry of Life,9.1,3.6,258,3.4,2,50,1,1,0,0,85
Spring 2019,Chemistry & Chemical Biology,CHEM 301HFB: Scientific Teaching and Communications: Practicum,7.4,3.9,29,3.8,0,80,0,0,0,0,0
Spring 2019,Chemistry & Chemical Biology,CHEM 40: Inorganic Chemistry,8.9,4.1,49,3.8,20,82,9,0,0,0,16
Spring 2019,Chemistry & Chemical Biology,"PHYSCI 1: Chemical Bonding, Energy, and Reactivity: An Introduction to the Physical Sciences",8.1,3.7,52,3.6,3,62,0,5,0,0,64
Spring 2019,"Classics, The",CLASARCH 147: ‘Reading’ Visual Media: The Trojan War in Classical Art,3.0,4.7,5,4.3,33,67,0,0,0,0,0
Spring 2019,"Classics, The",CLASARCH 183: Money and Coinage in the Ancient World,3.3,4.9,14,4.5,83,8,0,8,0,0,0
Spring 2019,"Classics, The",CLASARCH 225: Hellenistic Sculpture,5.0,4.0,1,4.0,0,0,10,0,0,0,0
Spring 2019,"Classics, The",CLASPHIL 249: The Greek Dialects: Seminar,5.5,5.0,4,5.0,50,50,0,0,0,0,0
Spring 2019,"Classics, The",CLASSIC 98: Tutorial - Junior Year,4.6,4.8,6,4.6,0,10,0,0,0,0,0
Spring 2019,"Classics, The",CLS-STDY 112: Regional Study: Sicily,5.4,4.9,8,5.0,38,62,0,0,0,0,0
Spring 2019,"Classics, The","CLS-STDY 135: To the Ends of the Earth: Geography, Ethnography, and Exploration in the Ancient World",4.2,4.9,12,4.8,50,40,30,0,0,0,0
Spring 2019,"Classics, The",CLS-STDY 151: The Greek Novel: From Antiquity to Modernity,10.0,4.0,3,3.0,10,10,10,0,0,0,0
Spring 2019,"Classics, The",CLS-STDY 97B: Introduction to the Ancient Roman World,5.4,3.3,16,3.3,21,71,21,0,0,0,0
Spring 2019,"Classics, The",GREEK 10: Introduction to Ancient Greek Literature,3.3,4.3,4,4.7,0,67,33,0,0,0,0
Spring 2019,"Classics, The",GREEK 115: Homer: The Odyssey,8.2,4.7,15,4.8,67,58,17,0,0,8,0
Spring 2019,"Classics, The",GREEK 1X: Accelerated Introduction to Ancient Greek 1,8.7,4.5,4,4.5,25,50,25,0,0,0,0
Spring 2019,"Classics, The",GREEK 2: Introductory Ancient Greek 2,5.4,4.8,6,4.6,60,20,60,0,0,40,0
Spring 2019,"Classics, The",GREEK K: Advanced Greek Prose Composition,11.0,3.6,11,2.9,40,90,0,0,0,0,0
Spring 2019,"Classics, The",LATIN 10: Introduction to Latin Literature,5.7,4.6,8,4.0,29,71,0,0,0,29,0
Spring 2019,"Classics, The",LATIN 112A: History of Latin Literature I,8.1,4.6,10,4.1,10,90,10,0,0,0,0
Spring 2019,"Classics, The","LATIN 122: Horace, Odes",5.6,4.7,14,4.6,46,69,15,0,0,8,0
Spring 2019,"Classics, The",LATIN 1X: Accelerated Introductory Latin 1,5.6,5.0,6,4.7,83,0,17,0,0,17,0
Spring 2019,"Classics, The",LATIN 2: Introductory Latin 2,3.7,4.0,21,4.1,25,6,19,0,0,69,0
Spring 2019,"Classics, The",LATIN 201: Reading Latin,11.4,4.7,8,4.7,43,57,0,0,0,0,0
Spring 2019,"Classics, The",LATIN H: Introductory Latin Prose Composition,7.0,4.7,3,4.3,33,67,33,0,0,0,0
Spring 2019,"Classics, The",MEDGREEK 115: Introduction to Byzantine Greek,4.0,5.0,2,5.0,10,0,0,0,0,0,0
Spring 2019,"Classics, The",MEDLATIN 10: Introduction to Medieval Latin Literature,8.5,5.0,3,5.0,0,10,50,0,0,50,0
Spring 2019,"Classics, The",MEDLATIN 106: Augustine Confessions,8.2,4.8,5,4.8,50,10,0,0,0,0,0
Spring 2019,"Classics, The",MODGRK AB: Elementary Modern Greek,3.3,4.7,7,4.8,67,0,33,0,0,17,0
Spring 2019,"Classics, The",MODGRK BB: Intermediate Modern Greek: Culture and Civilization,5.0,4.0,2,5.0,10,0,0,0,0,0,0
Spring 2019,Comparative Literature,"COMPLIT 137/HEBREW 137: Child Sacrifice, Pros and Cons: The Binding of Isaac in Jewish, Christian, Islamic, and Modern Lit",4.5,4.0,3,4.3,33,67,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 162: Homer and Beyond: Theory and Comparative Methods in Studying Oral Traditions,2.4,4.2,23,3.9,94,18,12,0,0,0,0
Spring 2019,Comparative Literature,"COMPLIT 174/GERMAN 174: Realism, Fantasy, and the Grotesque: Hoffmann and Balzac",5.3,5.0,14,5.0,54,31,31,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 191: W.G. Sebald's Intertextuality,4.0,4.7,5,4.7,67,67,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 191: W.G. Sebald's Intertextuality,4.0,4.7,5,4.7,67,67,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 214: The Literature of the Islands,5.5,5.0,7,4.7,83,17,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 226: Peripheral Modernisms,9.2,4.5,8,4.2,67,67,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 231: Living the Lives of Others: Reading Beyond the Hermeneutics of Suspicion (Grad Seminar in Gen Ed),8.3,3.7,9,3.7,75,0,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 264: Thinking and Writing Transculturally,8.0,4.8,5,4.5,75,25,25,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 272: Ritual Poetics,7.7,3.8,10,3.8,80,20,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 343BB: Professing Literature 2,1.0,5.0,6,5.0,0,10,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 343CB: Professing Literature 3,1.0,4.0,7,3.5,33,67,0,0,0,0,0
Spring 2019,Comparative Literature,COMPLIT 97: Tutorial - Sophomore Year,5.8,3.6,12,3.3,10,80,30,0,0,0,0
Spring 2019,Computer Science,COMPSCI 1: Great Ideas in Computer Science,7.7,3.8,86,3.8,81,5,3,23,0,0,0
Spring 2019,Computer Science,STAT 121B/COMPSCI 109B: Data Science 2: Advanced Topics in Data Science,11.7,3.8,72,3.9,52,30,11,0,2,0,0
Spring 2019,Computer Science,COMPSCI 124: Data Structures and Algorithms,17.1,4.1,258,4.0,22,81,10,0,0,0,0
Spring 2019,Computer Science,COMPSCI 141: Computing Hardware,11.9,3.8,42,3.8,23,94,3,0,3,0,0
Spring 2019,Computer Science,COMPSCI 144R: Networks Design Projects,5.2,3.4,6,3.4,40,60,20,0,0,0,0
Spring 2019,Computer Science,COMPSCI 145: Cloud Networking and Computing,9.9,3.3,13,3.4,36,73,0,0,0,0,0
Spring 2019,Computer Science,COMPSCI 152: Programming Languages,8.8,4.4,66,4.2,31,86,5,0,0,0,0
Spring 2019,Computer Science,COMPSCI 161: Operating Systems,20.8,4.7,28,4.6,76,52,8,0,0,0,0
Spring 2019,Computer Science,COMPSCI 179: Design of Useful and Usable Interactive Systems,7.5,3.5,70,3.7,25,61,23,2,0,0,0
Spring 2019,Computer Science,COMPSCI 181: Machine Learning,12.8,3.2,140,3.3,39,66,6,1,0,0,0
Spring 2019,Computer Science,COMPSCI 189: Autonomous Robot Systems,8.9,3.9,20,4.1,27,67,7,0,0,0,0
Spring 2019,Computer Science,COMPSCI 191: Classics of Computer Science,3.7,4.4,139,4.5,53,35,24,1,0,0,0
Spring 2019,Computer Science,COMPSCI 20: Discrete Mathematics for Computer Science,6.2,4.2,99,4.1,36,77,8,0,0,0,0
Spring 2019,Computer Science,COMPSCI 205: Computing Foundations for Computational Science,7.4,3.8,58,3.5,36,64,5,0,0,0,0
Spring 2019,Computer Science,COMPSCI 208: Applied Privacy for Data Science,13.8,4.8,16,4.8,89,22,11,0,0,0,0
Spring 2019,Computer Science,COMPSCI 229BR: Topics in Theoretical Computer Science: Biology and Complexity,4.9,3.5,11,3.5,73,64,0,0,0,0,0
